Legal Entity;COS Id;Entity Code;Share Class;Base Currency;Client Name;Basic Contract # /Account #;Fixed Currency;Counter Currency;Direction;Instrument Type;Trade Date;Maturity Date;Fixed Amount;Client Spot Rate;Client All-In Points;Client All-In Rate;Contra Amount;Status;Mandated Execution Time;External Fund Identifier;Fees Currency;Fees In Amount
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;GBP;EUR;Buy;Forward;22/06/2016;30/06/2016;1187880.06;0.76815;0;0.76815;1546416.79;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;GBP;EUR;Sell;Forward;22/06/2016;29/07/2016;1187880.06;0.76815;7.67;0.769013;1544681.38;Executed;17:00;DB2381Z8730528;EUR;193.24
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;JPY;EUR;Buy;Forward;22/06/2016;30/06/2016;189002886;118.1395;0;118.1395;1599828.05;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;JPY;EUR;Sell;Forward;22/06/2016;29/07/2016;189002886;118.1395;0.34;118.1577;1599581.63;Executed;17:00;DB2381Z8730528;EUR;200.39
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;JPY;EUR;Sell;Forward;22/06/2016;29/07/2016;10426415;118.1669;0.85;118.1754;88228.3;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;USD;EUR;Buy;Forward;22/06/2016;30/06/2016;20434487.05;1.1282;0;1.1282;18112468.58;Executed;17:00;DB2381Z8730528;EUR;0
Bank;2.016E+13;DB2381;LHC;EUR;MIFL;20024444;USD;EUR;Sell;Forward;22/06/2016;29/07/2016;20434487.05;1.1282;14.39;1.12978;18087138.25;Executed;17:00;DB2381Z8730528;EUR;2263.37
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;GBP;EUR;Buy;Forward;22/06/2016;30/06/2016;923350.32;0.76815;0;0.76815;1202044.29;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;GBP;EUR;Sell;Forward;22/06/2016;29/07/2016;923350.32;0.76815;7.67;0.769013;1200695.34;Executed;17:00;DB2381Z8730529;EUR;150.21
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;JPY;EUR;Buy;Forward;22/06/2016;30/06/2016;146699013;118.1395;0;118.1395;1241743.98;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;JPY;EUR;Sell;Forward;22/06/2016;29/07/2016;146699013;118.1395;0.34;118.1577;1241552.71;Executed;17:00;DB2381Z8730529;EUR;155.54
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;JPY;EUR;Sell;Forward;22/06/2016;29/07/2016;8010378;118.1669;0.85;118.1754;67783.8;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;USD;EUR;Buy;Forward;22/06/2016;30/06/2016;15950810.21;1.1282;0;1.1282;14138282.4;Executed;17:00;DB2381Z8730529;EUR;0
Bank;2.016E+13;DB2381;SHC;EUR;MIFL;20024445;USD;EUR;Sell;Forward;22/06/2016;29/07/2016;15950810.21;1.1282;14.39;1.12978;14118509.98;Executed;17:00;DB2381Z8730529;EUR;1766.75
