Legal Entity;COS Id;Entity Code;Share Class;Base Currency;Client Name;Basic Contract # /Account #;Fixed Currency;Counter Currency;Direction;Instrument Type;Trade Date;Maturity Date;Fixed Amount;Client Spot Rate;Client All-In Points;Client All-In Rate;Contra Amount;Status;Mandated Execution Time;External Fund Identifier;Fees Currency;Fees In Amount
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;GBP;EUR;Buy;Forward;22/06/2016;30/06/2016;9395766.8;0.76815;0;0.76815;12231682.35;Executed;17:00;DB5434Z8730528;EUR;0
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;GBP;EUR;Sell;Forward;22/06/2016;29/07/2016;9395766.8;0.76815;7.67;0.769013;12217955.74;Executed;17:00;DB5434Z8730528;EUR;1528.47
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;USD;EUR;Buy;Forward;22/06/2016;30/06/2016;95994338.89;1.1282;0;1.1282;85086278.04;Executed;17:00;DB5434Z8730528;EUR;0
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;USD;EUR;Sell;Forward;22/06/2016;29/07/2016;95994338.89;1.1282;14.39;1.12978;84967284.68;Executed;17:00;DB5434Z8730528;EUR;10632.57
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;GBP;EUR;Buy;Forward;22/06/2016;30/06/2016;33626282.76;0.76815;0;0.76815;43775672.4;Executed;17:00;DB5434Z8894216;EUR;0
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;GBP;EUR;Sell;Forward;22/06/2016;29/07/2016;33626282.76;0.76815;7.67;0.769013;43726546.57;Executed;17:00;DB5434Z8894216;EUR;5470.21
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;USD;EUR;Buy;Forward;22/06/2016;30/06/2016;345370784.2;1.1282;0;1.1282;306125495.6;Executed;17:00;DB5434Z8894216;EUR;0
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;USD;EUR;Sell;Forward;22/06/2016;29/07/2016;345370784.2;1.1282;14.39;1.12978;305697378.4;Executed;17:00;DB5434Z8894216;EUR;38254.12
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;GBP;EUR;Buy;Forward;22/06/2016;30/06/2016;7702844.7;0.76815;0;0.76815;10027787.16;Executed;17:00;DB5434Z8730529;EUR;0
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;GBP;EUR;Sell;Forward;22/06/2016;29/07/2016;7702844.7;0.76815;7.67;0.769013;10016533.8;Executed;17:00;DB5434Z8730529;EUR;1253.07
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;USD;EUR;Buy;Forward;22/06/2016;30/06/2016;77321032.64;1.1282;0;1.1282;68534863.18;Executed;17:00;DB5434Z8730529;EUR;0
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;USD;EUR;Sell;Forward;22/06/2016;29/07/2016;77321032.64;1.1282;14.39;1.12978;68439017.01;Executed;17:00;DB5434Z8730529;EUR;8564.27
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;GBP;EUR;Buy;Forward;22/06/2016;30/06/2016;66227197.25;0.76815;0;0.76815;86216490.6;Executed;17:00;DB5434Z8730525;EUR;0
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;GBP;EUR;Sell;Forward;22/06/2016;29/07/2016;66227197.25;0.76815;7.67;0.769013;86119736.93;Executed;17:00;DB5434Z8730525;EUR;10773.61
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;USD;EUR;Buy;Forward;22/06/2016;30/06/2016;644714238.3;1.1282;0;1.1282;571453854.2;Executed;17:00;DB5434Z8730525;EUR;0
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;USD;EUR;Sell;Forward;22/06/2016;29/07/2016;644714238.3;1.1282;14.39;1.12978;570654674.6;Executed;17:00;DB5434Z8730525;EUR;71410.14
